vacation_id,vacation_destination,vacation_description,vacation_start,vacation_end,price,vacation_image_file_name,follower_count
1,Paris,A romantic vacation in Paris,Thu Aug 10 2023 00:00:00 GMT+0300 (Israel Daylight Time),Sun Aug 20 2023 00:00:00 GMT+0300 (Israel Daylight Time),2000,paris.jpg,4
12,Copenhagen,A cool vacation in Copenhagen,Tue Oct 10 2023 00:00:00 GMT+0300 (Israel Daylight Time),Fri Oct 20 2023 00:00:00 GMT+0300 (Israel Daylight Time),2200,copenhagen.jpg,4
9,Los Angeles,A Hollywood vacation in LA,Wed Sep 20 2023 00:00:00 GMT+0300 (Israel Daylight Time),Sat Sep 30 2023 00:00:00 GMT+0300 (Israel Daylight Time),2400,la.jpg,3
10,Berlin,A cultural tour of Berlin,Sun Oct 01 2023 00:00:00 GMT+0300 (Israel Daylight Time),Wed Oct 11 2023 00:00:00 GMT+0300 (Israel Daylight Time),1900,berlin.jpg,3
11,Bangkok,Explore the city of Bangkok,Thu Oct 05 2023 00:00:00 GMT+0300 (Israel Daylight Time),Sun Oct 15 2023 00:00:00 GMT+0300 (Israel Daylight Time),1600,bangkok.jpg,3
3,Sydney,A relaxing vacation in Sydney,Fri Aug 18 2023 00:00:00 GMT+0300 (Israel Daylight Time),Mon Aug 28 2023 00:00:00 GMT+0300 (Israel Daylight Time),2500,sydney.jpg,2
4,Tokyo,Experience the culture of Tokyo,Fri Sep 01 2023 00:00:00 GMT+0300 (Israel Daylight Time),Mon Sep 11 2023 00:00:00 GMT+0300 (Israel Daylight Time),2200,tokyo.jpg,2
6,London,A royal tour of London,Sun Sep 10 2023 00:00:00 GMT+0300 (Israel Daylight Time),Wed Sep 20 2023 00:00:00 GMT+0300 (Israel Daylight Time),2100,london.jpg,2
7,Cairo,Explore the pyramids of Cairo,Fri Sep 15 2023 00:00:00 GMT+0300 (Israel Daylight Time),Mon Sep 25 2023 00:00:00 GMT+0300 (Israel Daylight Time),1500,cairo.jpg,2
8,Rio de Janeiro,Enjoy the beaches of Rio,Mon Sep 18 2023 00:00:00 GMT+0300 (Israel Daylight Time),Thu Sep 28 2023 00:00:00 GMT+0300 (Israel Daylight Time),1700,rio.jpg,2
2,Rome,A historical tour of Rome,Tue Aug 15 2023 00:00:00 GMT+0300 (Israel Daylight Time),Fri Aug 25 2023 00:00:00 GMT+0300 (Israel Daylight Time),1800,rome.jpg,1
5,New York,A city tour of New York,Tue Sep 05 2023 00:00:00 GMT+0300 (Israel Daylight Time),Fri Sep 15 2023 00:00:00 GMT+0300 (Israel Daylight Time),2300,newyork.jpg,1